Date,Academy,FirstName,LastName,Psychometrics,Presentation
2019-12-10,London Academy,Bambi,Earthfield,0.6,0.625
2019-12-10,London Academy,Ulberto,Stroton,0.59,0.6875
2019-12-10,London Academy,Reinold,Jenicek,0.51,0.625
2019-12-10,London Academy,Guido,Allans,0.57,0.5
2019-12-10,London Academy,Orella,Goshawke,0.55,0.53125
2019-12-10,London Academy,Felita,Jzhakov,0.59,0.6875
2019-12-10,London Academy,Filide,Roony,0.6,0.6875
2019-12-10,London Academy,Charley,Fredi,0.55,0.625
2019-12-10,London Academy,Melly,Ible,0.52,0.65625
2019-12-10,London Academy,Wallie,Chittenden,0.57,0.6875
2019-12-10,London Academy,Scotti,Bromfield,0.5,0.65625
2019-12-10,London Academy,Elisa,Gowman,0.5,0.59375
2019-01-10,Birmingham Academy,Sue,Barfitt,0.5,0.59375
2019-01-10,Birmingham Academy,Zea,Barette,0.52,0.5625
2019-01-10,Birmingham Academy,Meggie,Sidsaff,0.52,0.5625
2019-01-10,Birmingham Academy,Gui,Graine,0.57,0.53125
2019-01-10,Birmingham Academy,Carolann,Bumby,0.5,0.5
2019-01-10,Birmingham Academy,Danya,Sedgefield,0.57,0.8125
2019-01-10,Birmingham Academy,Rolland,Figgins,0.41,0.6875
2019-01-10,Birmingham Academy,Frank,Tolchard,0.5,0.5625
2019-01-10,Birmingham Academy,Shelli,Abbess,0.51,0.6875
2019-01-10,Birmingham Academy,Ambros,Ethington,0.56,0.71875
2019-01-10,Birmingham Academy,Nikola,Devericks,0.49,0.53125
2019-01-10,Birmingham Academy,Cheston,Ceillier,0.65,0.78125
2019-01-10,Birmingham Academy,Babita,Heigho,0.5,0.875
2019-01-10,Birmingham Academy,Vince,Scott,0.65,0.8125
2019-01-10,Birmingham Academy,Stephan,Jaxon,0.63,0.6875
2019-01-10,Birmingham Academy,Thatcher,Northey,0.49,0.5
2019-01-10,Birmingham Academy,Lilli,Le Brom,0.47,0.71875
2019-07-10,London Academy,Darwin,Sambiedge,0.55,0.6875
2019-07-10,London Academy,Grayce,Aim,0.49,0.5
2019-07-10,London Academy,Betty,Lamlin,0.72,0.75
2019-07-10,London Academy,Quill,Tompkinson,0.66,0.53125
2019-07-10,London Academy,Shaun,Dowley,0.58,0.6875
2019-07-10,London Academy,Oswald,Lyndon,0.57,0.5
2019-07-10,London Academy,Stanwood,Heimann,0.49,0.71875
2019-07-10,London Academy,Ruthie,Kinvig,0.44,0.625
2019-07-10,London Academy,Alison,Tett,0.53,0.5625
2019-07-10,London Academy,Care,Oattes,0.49,0.6875
2019-07-10,London Academy,Uriel,Eidelman,0.5,0.65625
2019-07-10,London Academy,Drake,Northcote,0.53,0.84375
2019-07-10,London Academy,Karel,Toulamain,0.51,0.5
2019-07-10,London Academy,Zelda,Prestage,0.55,0.5625
2019-07-10,London Academy,Judon,Henze,0.58,0.6875
2019-07-10,London Academy,Miguelita,Smedley,0.62,0.53125
2019-07-10,London Academy,Weylin,Comolli,0.5,0.78125
2019-07-10,London Academy,Daloris,Cotesford,0.6,0.6875
2019-07-10,London Academy,Salim,Sarra,0.53,0.59375
2019-07-10,London Academy,Job,Restall,0.6,0.65625
2019-07-10,London Academy,Thorin,Eskriet,0.57,0.53125
2019-07-10,London Academy,Vivienne,Blakelock,0.6,0.6875
2019-07-10,London Academy,Randie,Klimashevich,0.56,0.65625
2019-07-10,London Academy,Maje,Vallis,0.62,0.6875
2019-07-10,London Academy,Freddie,Samber,0.71,0.8125
2019-07-10,London Academy,Grant,Kilban,0.59,0.6875
2019-10-10,Birmingham Academy,Ramsey,Divall,0.51,0.59375
2019-10-10,Birmingham Academy,Clint,Draper,0.37,0.5
2019-10-10,Birmingham Academy,Drucie,Bianco,0.53,0.71875
2019-10-10,Birmingham Academy,Powell,Wank,0.68,0.53125
2019-10-10,Birmingham Academy,Tonye,Hearl,0.63,0.65625
2019-10-10,Birmingham Academy,Gardener,Boundey,0.49,0.4375
2019-10-10,Birmingham Academy,Cliff,Knowlton,0.57,0.59375
2019-10-10,Birmingham Academy,Lew,Bartlomieczak,0.63,0.71875
2019-10-10,Birmingham Academy,Bartholomeo,Keatley,0.54,0.59375
2019-10-10,Birmingham Academy,Adel,Kinrade,0.56,0.5
2019-10-10,Birmingham Academy,Parrnell,Wroe,0.59,0.46875
2019-10-10,Birmingham Academy,Alexis,Adess,0.57,0.59375
2019-10-10,Birmingham Academy,Pauly,Rebbeck,0.63,0.5625
2019-10-10,Birmingham Academy,Malvin,Penrith,0.61,0.71875
2019-10-10,Birmingham Academy,Nariko,Robelin,0.44,0.59375
2019-10-10,Birmingham Academy,Wallie,Pecha,0.51,0.6875
2019-10-10,Birmingham Academy,Meredith,Craufurd,0.5,0.4375
2019-10-10,Birmingham Academy,Bobine,Advani,0.55,0.53125
2019-10-10,Birmingham Academy,Toinette,Hallut,0.58,0.625
2019-10-10,Birmingham Academy,Aleksandr,Lean,0.47,0.6875
2019-10-10,Birmingham Academy,Barnie,Jersh,0.59,0.6875
2019-10-10,Birmingham Academy,Peterus,Wraith,0.49,0.34375
2019-10-10,Birmingham Academy,Ban,Craze,0.38,0.75
2019-10-10,Birmingham Academy,Chrisy,Kesey,0.58,0.46875
2019-10-10,Birmingham Academy,Binnie,Capnerhurst,0.53,0.4375
2019-10-10,Birmingham Academy,Ammamaria,Tassell,0.57,0.625
2019-10-10,Birmingham Academy,Karolina,Comini,0.66,0.40625
2019-10-10,Birmingham Academy,Loralie,Exroll,0.53,0.625
2019-10-10,Birmingham Academy,Bebe,Guyonneau,0.42,0.5625
2019-10-10,Birmingham Academy,Hobard,Gaynes,0.67,0.71875
2019-10-10,Birmingham Academy,Clevie,Bowsher,0.54,0.6875
2019-09-10,London Academy,Loralyn,Dibbs,0.46,0.5625
2019-09-10,London Academy,Marsha,Coulter,0.6,0.6875
2019-09-10,London Academy,Norene,Dericut,0.6,0.71875
2019-09-10,London Academy,Dale,Fewlass,0.52,0.6875
2019-09-10,London Academy,Wilfred,Godwyn,0.57,0.53125
2019-09-10,London Academy,Irvine,Harmson,0.55,0.71875
2019-09-10,London Academy,Leyla,Threadgold,0.54,0.5625
2019-09-10,London Academy,Ethelred,Cartman,0.52,0.75
2019-09-10,London Academy,Baldwin,Macbey,0.56,0.75
2019-09-10,London Academy,Torrence,Lanegran,0.62,0.625
2019-09-10,London Academy,Angie,Langer,0.41,0.65625
2019-09-10,London Academy,Patric,Goult,0.68,0.6875
2019-09-10,London Academy,Jennine,Erni,0.56,0.8125
2019-09-10,London Academy,Roderic,Dagger,0.45,0.6875
2019-09-10,London Academy,Glynnis,Wicken,0.5,0.8125
2019-09-10,London Academy,Stephine,Kirton,0.63,0.59375
2019-09-10,London Academy,Carroll,Treasaden,0.54,0.65625
2019-09-10,London Academy,Riva,Mangeot,0.53,0.71875
2019-09-10,London Academy,Lilias,Mc Gorley,0.5,0.53125
2019-09-10,London Academy,Garrard,Keward,0.64,0.875
2019-09-10,London Academy,Collin,Commins,0.52,0.6875
2019-09-10,London Academy,Bertha,Burchfield,0.55,0.5625
2019-09-10,London Academy,Stillmann,Qualtrough,0.63,0.28125
2019-09-10,London Academy,Ignatius,Doxsey,0.6,0.71875
2019-09-10,London Academy,Jo-Ann,Gallihaulk,0.62,0.625
2019-09-10,London Academy,Mark,Beckingham,0.63,0.875
2019-09-10,London Academy,Ryley,Dael,0.62,0.78125
2019-04-11,Birmingham Academy,Meridel,Randell,0.62,0.71875
2019-04-11,Birmingham Academy,Isacco,Boichat,0.57,0.59375
2019-04-11,Birmingham Academy,Valenka,Jirsa,0.63,0.5625
2019-04-11,Birmingham Academy,Sullivan,Peskin,0.45,0.75
2019-04-11,Birmingham Academy,Theobald,Rawles,0.66,0.5
2019-04-11,Birmingham Academy,Hubie,Surgood,0.52,0.65625
2019-04-11,Birmingham Academy,Paco,St Ange,0.59,0.6875
2019-04-11,Birmingham Academy,Forbes,Scimoni,0.54,0.5
2019-04-11,Birmingham Academy,Aggy,Alessandrucci,0.55,0.65625
2019-04-11,Birmingham Academy,Nicola,Gloyens,0.46,0.71875
2019-04-11,Birmingham Academy,Viv,Newby,0.51,0.46875
2019-04-11,Birmingham Academy,Rosanna,Berkely,0.44,0.59375
2019-04-11,Birmingham Academy,Arlen,Meacher,0.55,0.625
2019-04-11,Birmingham Academy,Leigha,Pafford,0.5,0.53125
2019-04-11,Birmingham Academy,Amalea,Tysack,0.54,0.5625
2019-04-11,Birmingham Academy,Auberta,Ruddick,0.63,0.71875
2019-04-11,Birmingham Academy,Kathlin,Gibling,0.64,0.75
2019-04-11,Birmingham Academy,Parke,Coulthurst,0.61,0.65625
2019-04-11,Birmingham Academy,Asher,Mccrow,0.45,0.375
2019-04-11,Birmingham Academy,Scott,Duny,0.57,0.53125
2019-12-11,London Academy,Berry,Gammel,0.71,0.5
2019-12-11,London Academy,Moritz,Mosedall,0.54,0.65625
2019-12-11,London Academy,Nerti,Welfair,0.63,0.5625
2019-12-11,London Academy,Sandro,Pratchett,0.53,0.59375
2019-12-11,London Academy,Olia,Lincoln,0.62,0.5625
2019-12-11,London Academy,Caril,Bayly,0.58,0.65625
2019-12-11,London Academy,Gianina,Shevelin,0.51,0.4375
2019-12-11,London Academy,Charlotte,Laxe,0.58,0.84375
2019-12-11,London Academy,Cori,Docwra,0.56,0.625
2019-12-11,London Academy,Bessy,Turpie,0.62,0.71875
2019-12-11,London Academy,El,Shepstone,0.53,0.53125
2019-12-11,London Academy,Nahum,Riddock,0.65,0.65625
2019-12-11,London Academy,Berni,Torra,0.54,0.59375
2019-12-11,London Academy,Horten,Koomar,0.5,0.5625
2019-12-11,London Academy,Haley,Chmiel,0.42,0.46875
2019-12-11,London Academy,Allina,Buttfield,0.57,0.5625
2019-12-11,London Academy,Mari,Lotterington,0.5,0.6875
2019-12-11,London Academy,Elbertine,Angliss,0.45,0.75
2019-12-11,London Academy,Eddie,Mara,0.6,0.71875
2019-12-11,London Academy,Willi,Dibnah,0.57,0.6875
2019-12-11,London Academy,Domenic,Coulter,0.64,0.59375
2019-12-11,London Academy,Johnna,Tarbin,0.52,0.78125
2019-12-11,London Academy,Rhys,Ayton,0.41,0.53125
2019-12-11,London Academy,Riobard,Collcott,0.52,0.71875
2019-12-11,London Academy,Amalia,Sheppard,0.56,0.6875
2019-12-11,London Academy,Rene,Stennings,0.52,0.6875
2019-12-11,London Academy,Piper,Hawson,0.56,0.6875
2019-12-11,London Academy,Doretta,Langdon,0.58,0.78125
2019-12-11,London Academy,Imelda,Fowkes,0.44,0.75
2019-12-11,London Academy,Claudian,Copp,0.47,0.5625
2019-12-11,London Academy,Free,Simmgen,0.56,0.46875
2019-12-11,London Academy,Milly,Hugnin,0.66,0.6875
2019-12-11,London Academy,Elissa,Knowles,0.5,0.6875
2019-07-11,Birmingham Academy,Zacharias,Restorick,0.58,0.6875
2019-07-11,Birmingham Academy,Benita,Enefer,0.52,0.625
2019-07-11,Birmingham Academy,Roana,Sanger,0.56,0.625
2019-07-11,Birmingham Academy,Cherrita,Mcgilleghole,0.52,0.78125
2019-07-11,Birmingham Academy,Ortensia,Winscomb,0.53,0.8125
2019-07-11,Birmingham Academy,Michelle,Dungee,0.45,0.625
2019-07-11,Birmingham Academy,Lissa,Pumfrett,0.59,0.5625
2019-07-11,Birmingham Academy,Hewet,Derwin,0.62,0.78125
2019-07-11,Birmingham Academy,Wilhelm,Jouanet,0.63,0.71875
2019-07-11,Birmingham Academy,Bari,Streatfield,0.59,0.6875
2019-07-11,Birmingham Academy,Rik,Waren,0.64,0.5625
2019-07-11,Birmingham Academy,Vivyan,Robuchon,0.61,0.53125
2019-07-11,Birmingham Academy,Dana,Oldershaw,0.49,0.5625
2019-07-11,Birmingham Academy,Whitman,Ponter,0.49,0.71875
2019-07-11,Birmingham Academy,Shay,Obee,0.52,0.5625
2019-07-11,Birmingham Academy,Fayette,Vatini,0.42,0.5625
2019-07-11,Birmingham Academy,Horatius,Branch,0.58,0.46875
2019-07-11,Birmingham Academy,Melamie,Streat,0.48,0.6875
2019-07-11,Birmingham Academy,Floris,Rizzetti,0.51,0.6875
2019-07-11,Birmingham Academy,Adelaida,Pirson,0.57,0.84375
2019-07-11,Birmingham Academy,Ester,Mcterrelly,0.63,0.625
2019-07-11,Birmingham Academy,Lurline,Stirtle,0.57,0.71875
2019-07-11,Birmingham Academy,Annecorinne,Kertess,0.49,0.5625
2019-07-11,Birmingham Academy,Gaelan,Cords,0.59,0.375
2019-07-11,Birmingham Academy,Cobby,Wixey,0.49,0.5625
2019-07-11,Birmingham Academy,Belle,Catherall,0.53,0.71875
2019-07-11,Birmingham Academy,Lory,Bruckman,0.53,0.59375
2019-07-11,Birmingham Academy,Rufe,Devon,0.51,0.5
2019-07-11,Birmingham Academy,Zacherie,Beswell,0.58,0.625
2019-07-11,Birmingham Academy,Mame,Theurer,0.39,0.625
2019-07-11,Birmingham Academy,Maggie,Dolden,0.53,0.875
2019-07-11,Birmingham Academy,Gage,Feveryear,0.63,0.59375
2019-07-11,Birmingham Academy,Virginia,Burdge,0.57,0.5625
2019-07-11,Birmingham Academy,Arlette,Pickles,0.61,0.53125
2019-07-11,Birmingham Academy,Madeleine,Brunicke,0.67,0.5
2019-07-11,Birmingham Academy,Sinclair,Bonder,0.6,0.8125
2019-06-11,London Academy,Siouxie,Rogan,0.6,0.5
2019-06-11,London Academy,Charlean,Balston,0.53,0.625
2019-06-11,London Academy,Maxi,Highwood,0.48,0.78125
2019-06-11,London Academy,Antoni,Caney,0.66,0.53125
2019-06-11,London Academy,Diana,Webby,0.61,0.5625
2019-06-11,London Academy,Malvina,Whiteford,0.53,0.75
2019-06-11,London Academy,Stewart,Stapleford,0.44,0.65625
2019-06-11,London Academy,Jayne,Andriveau,0.62,0.8125
2019-06-11,London Academy,Worthington,Richford,0.59,0.5625
2019-06-11,London Academy,Donalt,Julyan,0.59,0.53125
2019-06-11,London Academy,Monah,Menci,0.62,0.375
2019-06-11,London Academy,Dev,Mcpherson,0.64,0.8125
2019-06-11,London Academy,Shandeigh,Birchett,0.47,0.6875
2019-06-11,London Academy,Vincenty,Roubay,0.72,0.625
2019-06-11,London Academy,Melamie,Keers,0.61,0.6875
2019-06-11,London Academy,Doy,Tams,0.58,0.6875
2019-06-11,London Academy,Merilee,Wheelband,0.47,0.71875
2019-06-11,London Academy,Maryanna,Seeney,0.5,0.5625
2019-06-11,London Academy,Evangelin,Gorges,0.66,0.6875
2019-06-11,London Academy,Sean,Dillaway,0.54,0.6875
2019-06-11,London Academy,Gisela,Schachter,0.65,0.625
2019-06-11,London Academy,Phedra,Berriball,0.56,0.5625
2019-06-11,London Academy,Sherwood,Cahan,0.42,0.34375
2019-06-11,London Academy,Byrom,Sawday,0.54,0.65625
2019-06-11,London Academy,Joanna,Eggerton,0.51,0.6875
2019-06-11,London Academy,Shayne,De Domenico,0.54,0.625
2019-06-11,London Academy,Petronilla,Ziemens,0.56,0.59375
2019-06-11,London Academy,Nikolaus,Gullefant,0.54,0.59375
2019-06-11,London Academy,Auberon,Werny,0.52,0.53125
2019-06-11,London Academy,Forster,Clines,0.6,0.5625
2019-06-11,London Academy,Prentice,Van Der Hoeven,0.6,0.71875
2019-09-11,London Academy,Manon,Clutterham,0.59,0.8125
2019-09-11,London Academy,Ramon,Hinchcliffe,0.56,0.5625
2019-09-11,London Academy,Jenine,Ivashkov,0.53,0.75
2019-09-11,London Academy,Pebrook,Eydel,0.58,0.71875
2019-09-11,London Academy,Bette-Ann,Ferrieres,0.43,0.84375
2019-09-11,London Academy,Chrissy,Bartholin,0.55,0.59375
2019-09-11,London Academy,Jere,Amor,0.5,0.53125
2019-09-11,London Academy,Amanda,Lill,0.59,0.65625
2019-09-11,London Academy,Fiona,Sandle,0.6,0.53125
2019-09-11,London Academy,Malina,Casaccia,0.65,0.71875
2019-09-11,London Academy,Andreas,Mehmet,0.58,0.59375
2019-09-11,London Academy,Liana,Johannes,0.39,0.65625
2019-09-11,London Academy,Keefe,Mirfin,0.53,0.71875
2019-09-11,London Academy,Wyatt,Trippack,0.57,0.5
2019-09-11,London Academy,Dietrich,Sabater,0.51,0.71875
2019-09-11,London Academy,Dorothea,Bidnall,0.54,0.65625
2019-09-11,London Academy,Renie,Ellin,0.63,0.46875
2019-09-11,London Academy,Gery,Marchment,0.5,0.59375
2019-09-11,London Academy,Hillary,Thouless,0.54,0.71875
2019-09-11,London Academy,Mariel,Bartel,0.53,0.53125
2019-09-11,London Academy,Chelsy,Regus,0.48,0.5625
2019-09-11,London Academy,Guillaume,Rubury,0.41,0.59375
2019-09-11,London Academy,Teodora,Whaplington,0.57,0.65625
2019-09-11,London Academy,Elfrida,Reece,0.66,0.53125
2019-09-11,London Academy,Corry,Siveter,0.42,0.75
2019-09-11,London Academy,Jillian,Wenn,0.57,0.5625
2019-09-11,London Academy,Elsa,Woonton,0.54,0.71875
2019-09-11,London Academy,Rachele,Shaplin,0.65,0.53125
2019-09-11,London Academy,Merwyn,Bremeyer,0.55,0.59375
2019-09-11,London Academy,Danni,Gurdon,0.53,0.53125
2019-09-11,London Academy,Veronike,Alenov,0.53,0.6875
2019-09-11,London Academy,Stephan,Tidbald,0.61,0.53125
2019-09-11,London Academy,Chrisse,Santostefano.,0.57,0.78125
2019-09-11,London Academy,Helyn,Sahnow,0.67,0.5
2019-09-11,London Academy,Homerus,Heighton,0.58,0.53125
2019-09-11,London Academy,Fredia,Ruos,0.64,0.53125
2019-09-11,London Academy,Harrietta,Buten,0.53,0.71875
2019-09-11,London Academy,Glynda,Cancellario,0.48,0.65625
2019-09-11,London Academy,Sarita,Weedon,0.66,0.59375
2019-09-11,London Academy,Darwin,Vlasov,0.51,0.78125
2019-12-12,Birmingham Academy,Hi,Romke,0.48,0.40625
2019-12-12,Birmingham Academy,Gertruda,Syddie,0.53,0.75
2019-12-12,Birmingham Academy,Loella,Thomel,0.45,0.6875
2019-12-12,Birmingham Academy,Dniren,Barlas,0.52,0.59375
2019-12-12,Birmingham Academy,Jo,Ann Beeke,0.51,0.8125
2019-12-12,Birmingham Academy,Mart,Haggerstone,0.57,0.71875
2019-12-12,Birmingham Academy,Patrice,Milhench,0.55,0.71875
2019-12-12,Birmingham Academy,Solly,Reek,0.55,0.6875
2019-12-12,Birmingham Academy,Damian,Brimblecombe,0.41,0.59375
2019-12-12,Birmingham Academy,Fawne,Keen,0.58,0.6875
2019-12-12,Birmingham Academy,Abran,Hawson,0.47,0.40625
2019-12-12,Birmingham Academy,Jacquelynn,Savin,0.53,0.71875
2019-12-12,Birmingham Academy,Matthew,Tumilson,0.54,0.625
2019-12-12,Birmingham Academy,Bridgette,Antos,0.65,0.8125
2019-12-12,Birmingham Academy,Leslie,Lochhead,0.41,0.625
2019-12-12,Birmingham Academy,Chet,Bean,0.58,0.59375
2019-12-12,Birmingham Academy,Kathryn,Sture,0.54,0.53125
2019-12-12,Birmingham Academy,Gerrie,Domenget,0.66,0.5
2019-12-12,Birmingham Academy,Genovera,Mattek,0.54,0.65625
2019-12-12,Birmingham Academy,Dawn,Petlyura,0.65,0.46875
2019-12-12,Birmingham Academy,Eryn,Licence,0.57,0.53125
2019-12-12,Birmingham Academy,Lemar,Kingsnod,0.45,0.8125
2019-12-12,Birmingham Academy,Gaultiero,Veldstra,0.4,0.71875
2019-12-12,Birmingham Academy,Brandtr,Rodell,0.6,0.4375
2019-12-12,Birmingham Academy,Jordan,Cristoforetti,0.56,0.65625
2019-12-12,Birmingham Academy,Chaim,Inseal,0.57,0.6875
2019-02-12,London Academy,Wilfrid,Warde,0.42,0.5
2019-02-12,London Academy,Wash,Richardes,0.6,0.5
2019-02-12,London Academy,Redd,Jurges,0.64,0.59375
2019-02-12,London Academy,Tommy,Evans,0.61,0.65625
2019-02-12,London Academy,Stephanus,Kenwood,0.58,0.5625
2019-02-12,London Academy,Siward,Luten,0.45,0.65625
2019-02-12,London Academy,Adria,Zorro,0.57,0.71875
2019-02-12,London Academy,Audre,Thomerson,0.58,0.59375
2019-02-12,London Academy,Irvin,Clayhill,0.55,0.4375
2019-02-12,London Academy,Darcie,Baldetti,0.47,0.46875
2019-02-12,London Academy,Kizzee,Toyne,0.49,0.5625
2019-02-12,London Academy,Robbin,Duchesne,0.59,0.46875
